# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-1.7394699e+00   2.085665e-01   2.085665e-01   2.085665e-01   2.085665e-01   2.085665e-01   2.085665e-01
-1.7372619e+00   2.124333e-01   2.124333e-01   2.124333e-01   2.124333e-01   2.124333e-01   2.124333e-01
-1.735065e+00   2.1630007e-01   2.1630007e-01   2.1630007e-01   2.1630007e-01   2.1630007e-01   2.1630007e-01
-1.7328792e+00   2.2016686e-01   2.2016686e-01   2.2016686e-01   2.2016686e-01   2.2016686e-01   2.2016686e-01
-1.7307043e+00   2.2403365e-01   2.2403365e-01   2.2403365e-01   2.2403365e-01   2.2403365e-01   2.2403365e-01
-1.7285402e+00   2.2790045e-01   2.2790045e-01   2.2790045e-01   2.2790045e-01   2.2790045e-01   2.2790045e-01
-1.7263869e+00   2.3176722e-01   2.3176722e-01   2.3176722e-01   2.3176722e-01   2.3176722e-01   2.3176722e-01
-1.7242442e+00   2.3563401e-01   2.3563401e-01   2.3563401e-01   2.3563401e-01   2.3563401e-01   2.3563401e-01
-1.722112e+00   2.395008e-01   2.395008e-01   2.395008e-01   2.395008e-01   2.395008e-01   2.395008e-01
-1.7199904e+00   2.433676e-01   2.433676e-01   2.433676e-01   2.433676e-01   2.433676e-01   2.433676e-01
-1.7178789e+00   2.468959e-01   2.468959e-01   2.468959e-01   2.468959e-01   2.468959e-01   2.468959e-01
-1.7157776e+00   2.4983317e-01   2.4983317e-01   2.4983317e-01   2.4983317e-01   2.4983317e-01   2.4983317e-01
-1.7136866e+00   2.5277042e-01   2.5277042e-01   2.5277042e-01   2.5277042e-01   2.5277042e-01   2.5277042e-01
-1.7116054e+00   2.557077e-01   2.557077e-01   2.557077e-01   2.557077e-01   2.557077e-01   2.557077e-01
-1.7095343e+00   2.5864497e-01   2.5864497e-01   2.5864497e-01   2.5864497e-01   2.5864497e-01   2.5864497e-01
-1.707473e+00   2.6158226e-01   2.6158226e-01   2.6158226e-01   2.6158226e-01   2.6158226e-01   2.6158226e-01
-1.7054214e+00   2.645195e-01   2.645195e-01   2.645195e-01   2.645195e-01   2.645195e-01   2.645195e-01
-1.7033795e+00   2.674568e-01   2.674568e-01   2.674568e-01   2.674568e-01   2.674568e-01   2.674568e-01
